binzm1,binzm2,binzm3,binzm4,binzm5,binzm6,bincs1,bincs2,bincs3,bincs4,bincs5,bincs6,binoo1,binoo2,binoo3,binoo4,binoo5,binoo6
1.265380484,1.964976971,3.719909177,1.770869785,1.833052956,1.514193261,0.858421142,1.244346165,1.773326461,1.242088371,1.10909218,1.238575516,4.923189733,4.823879408,4.833265392,5.126171781,5.165728118,5.040674189
1.473281618,1.396581528,1.357335147,2.494069759,1.868504138,1.527252979,0.985520575,0.796083074,1.219432806,1.431170698,1.072885328,1.200538308,4.705034067,4.833495975,4.635080719,4.578808705,5.046320596,5.212852835
0.927561828,0.872247028,3.360244772,1.708071152,1.764656983,2.099069282,0.717275834,0.619639148,1.647654671,0.920314742,1.289805667,1.352421409,4.575367818,4.993942563,4.71995833,4.935379886,4.982464828,4.938467852
1.410729079,1.266755199,1.2297762,1.09444148,0.93829891,0.966602107,0.693849933,1.04875205,0.88639352,1.072442606,0.659862729,0.79030701,4.910118757,5.558573342,5.759783657,5.274306632,5.148084251,5.066175678
1.491867455,1.291649184,1.63491955,1.561405686,1.584417769,1.562721996,0.967875245,0.840022636,1.159091722,1.106644098,1.149654069,1.031125222,4.497629821,4.900838378,4.975476895,4.867158295,5.057870354,5.35881144
0.847235565,1.087035734,1.165460611,1.322255575,1.40034904,1.368616703,0.834905631,1.399077328,0.909253581,1.259988869,1.061260913,1.525841404,5.33811619,4.76002162,4.919008334,5.440899835,5.355553361,5.12938286
0.948307205,1.011338582,1.496495111,1.142417036,1.449521788,1.124864587,1.096580542,0.749920518,1.126358026,0.799180152,1.168422525,1.090076724,4.517578446,4.842981444,4.918996874,4.590171006,5.105096677,5.571700537
1.607589136,3.351947892,1.842460632,1.503392202,1.352090611,1.340359984,0.869606082,1.640678078,1.032952248,1.189042345,0.961933084,0.972312142,4.751587103,5.18803426,5.207732726,5.505737994,5.565637649,5.987091502
0.833010064,0.97226874,0.962422488,0.866947786,0.870645755,0.873546807,1.123416364,1.847602,1.207295727,1.192563745,1.380121194,1.402284074,4.266958405,4.27756154,4.588955012,4.706712894,4.877476802,4.627071123
1.294203043,1.381268106,1.182538981,1.310775643,1.072604356,1.137293471,0.85654261,1.178022813,1.052363024,1.151375813,1.021321877,0.913655922,5.323098218,4.866302826,5.205188521,5.615329654,5.018133808,5.374607631
1.323675772,2.014264406,1.568860211,1.473528918,1.415974829,1.356424254,0.701843573,1.074249811,1.065901764,0.99492427,0.949488266,0.939614325,5.527716658,5.539706612,5.486318921,5.393162968,5.373654119,5.350707188
